Label	Predicted	Score
Ankle boot	Ankle boot	0.9997403
Pullover	Pullover	0.99978846
Trouser	Trouser	1.0
Trouser	Trouser	0.9999994
Shirt	Shirt	0.8946441
Trouser	Trouser	0.9999993
Coat	Coat	0.99613625
Shirt	Shirt	0.99081355
Sandal	Sandal	0.9997695
Sneaker	Sneaker	0.99886346
Coat	Coat	0.9596725
Sandal	Sandal	0.9999436
Sneaker	Sneaker	0.9751614
Dress	Dress	0.9978276
Coat	Coat	0.845432
Trouser	Trouser	0.9999808
Pullover	Pullover	0.9870697
Coat	Coat	0.9061072
Bag	Bag	0.9999927
T-shirt/top	T-shirt/top	0.9975172
Pullover	Pullover	0.9792628
Sandal	Sandal	0.9857555
Sneaker	Sneaker	0.988607
Ankle boot	Sandal	0.9991634
Trouser	Trouser	1.0
Coat	Pullover	0.678556
Shirt	Coat	0.7191398
T-shirt/top	T-shirt/top	0.8180268
Ankle boot	Ankle boot	0.9992112
Dress	Dress	0.79163253
Bag	Bag	0.99999344
Bag	Bag	0.9999889
Dress	Trouser	0.8054808
Dress	Dress	0.70623666
Bag	Bag	0.9998098
T-shirt/top	T-shirt/top	0.98727524
Sneaker	Sneaker	0.9987501
Sandal	Sandal	0.9997204
Sneaker	Sneaker	0.9982286
Ankle boot	Ankle boot	0.999984
Shirt	Shirt	0.94302243
Trouser	Trouser	1.0
Dress	T-shirt/top	0.7515615
Sneaker	Ankle boot	0.8554865
Shirt	Shirt	0.95956844
Sneaker	Sneaker	0.59782356
Pullover	Pullover	0.97713727
Trouser	Trouser	0.99985445
Pullover	Pullover	0.8052241
Pullover	Shirt	0.7177811
Coat	Coat	0.77978885
Coat	Coat	0.5581745
Sandal	Sandal	0.9999943
Bag	Bag	0.9949764
Pullover	Pullover	0.9947673
Pullover	Pullover	0.9950524
Bag	Bag	0.9999976
Coat	Shirt	0.59556866
Bag	Bag	0.9999981
T-shirt/top	T-shirt/top	0.9997284
Sneaker	Sneaker	0.9993048
Sneaker	Sneaker	0.9828773
Bag	Bag	0.9999964
Sandal	Sandal	0.99996316
Trouser	Trouser	1.0
Trouser	Trouser	0.9999963
Pullover	Pullover	0.2969564
Dress	Dress	0.62503666
Ankle boot	Sneaker	0.54758555
Bag	Bag	0.99999964
Sneaker	Sneaker	0.99816954
T-shirt/top	T-shirt/top	0.99608374
Pullover	Pullover	0.9948259
Shirt	Shirt	0.3259233
Pullover	Pullover	0.9725266
Dress	Dress	0.98945075
Trouser	Trouser	1.0
Pullover	Pullover	0.99960345
Bag	Bag	0.9999995
Coat	Coat	0.9969137
Trouser	Trouser	0.9999926
Bag	Bag	0.9999989
Sandal	Sandal	0.9999994
Ankle boot	Ankle boot	0.9999573
Sandal	Sandal	0.99997556
T-shirt/top	T-shirt/top	0.99951875
Dress	Dress	0.9746362
Pullover	Pullover	0.99978393
T-shirt/top	T-shirt/top	0.9978162
Shirt	Shirt	0.6484094
Sandal	Sandal	0.9999559
Dress	Dress	0.93615186
Shirt	Shirt	0.73574114
Sneaker	Sneaker	0.9990262
Trouser	Trouser	0.9999994
Bag	Bag	0.99773383
T-shirt/top	T-shirt/top	0.9971909
Trouser	Trouser	0.99998295
Coat	Pullover	0.9796846
Pullover	Pullover	0.9957119
Dress	Dress	0.974396
Shirt	Shirt	0.9663175
Sneaker	Sneaker	0.9975077
Pullover	Pullover	0.89704955
Sneaker	Sneaker	0.99864215
Bag	Bag	0.9999831
Sandal	Sandal	0.9999585
